type,trial,word,value_col,condition,response,result,duration
image,1,kunstenares,1,error,y,error,0.6174392700195312
image,2,chirug,2,error,y,error,0.585390567779541
image,3,kunstenaar,1,error,y,error,1.134594202041626
image,4,hoogleraar,3,nongendered_wrong,n,correct,0.7486166954040527
image,5,kunstenares,2,error,n,error,0.6328344345092773
image,6,verpleegkundige,2,error,y,error,0.8545718193054199
image,7,kapster,3,error,n,error,0.6014747619628906
image,8,kok,3,nongendered_wrong,n,correct,0.6481685638427734
image,9,kapster,1,error,y,error,0.6013462543487549
image,10,chirug,1,error,y,error,0.654428243637085
image,11,chirug,1,error,y,error,0.5856750011444092
image,12,verpleegkundige,2,error,y,error,0.5545046329498291
image,13,chirug,3,nongendered_wrong,n,correct,1.4563148021697998
image,14,schrijfster,3,error,n,error,0.848400354385376
image,15,chirug,2,error,y,error,0.6325139999389648
image,16,verpleegkundige,2,error,y,error,0.5009124279022217
image,17,kapper,2,error,n,error,0.639127254486084
image,18,burgermeester,3,nongendered_wrong,n,correct,0.6013138294219971
image,19,lerares,1,error,y,error,0.7011559009552002
image,20,lerares,1,error,y,error,0.532529354095459
image,1,lerares,3,error,n,error,0.5621640682220459
image,2,kok,2,error,y,error,0.4787423610687256
image,3,lerares,1,error,y,error,0.7098181247711182
image,4,lerares,2,error,n,error,0.882270336151123
image,5,schrijfster,3,error,n,error,0.6057586669921875
image,6,kok,2,error,y,error,0.35679030418395996
image,7,lerares,1,error,y,error,1.2882733345031738
image,8,burgermeester,3,error,n,error,0.9291315078735352
image,9,kapper,2,error,n,error,1.0097541809082031
image,10,rechter,2,error,y,error,0.9120893478393555
image,11,verpleegkundige,1,error,y,error,0.8456411361694336
image,12,verpleegkundige,1,error,y,error,1.1941912174224854
image,13,kok,2,error,y,error,0.842886209487915
image,14,leraar,3,error,n,error,0.5179269313812256
image,15,rechter,2,error,y,error,0.5446484088897705
image,16,boer,3,error,n,error,0.7000904083251953
image,17,verpleegkundige,1,error,y,error,0.6456775665283203
image,18,chirug,2,error,y,error,2.5159595012664795
image,19,hoogleraar,3,error,n,error,0.6723430156707764
image,20,chirug,3,error,y,error,0.4775540828704834
