type,trial,word,value_col,key,gendered,rightornot,duration
image,1,rechter,2,y,0,,1.0402181148529053
image,2,schrijfster,1,y,1,,1.0970675945281982
image,3,kapster,1,y,1,,0.8317763805389404
image,4,chirug,3,n,0,,0.9664180278778076
image,5,schrijver,1,y,1,,1.0900890827178955
image,6,kok,1,y,0,,1.0601656436920166
image,7,kok,1,y,0,,1.4142191410064697
image,8,kapster,2,y,1,,0.8130207061767578
image,9,kok,1,y,0,,1.6050126552581787
image,10,kunstenaar,1,y,1,,1.499347448348999
image,11,chirug,2,y,0,,1.5958712100982666
image,12,rechter,1,y,0,,1.0351338386535645
image,13,hoogleraar,1,y,0,,1.154266595840454
image,14,hoogleraar,1,y,0,,0.5326952934265137
image,15,schrijver,2,y,1,,0.7061376571655273
image,16,kapster,2,y,1,,3.774127721786499
image,17,kok,3,n,0,,1.7742369174957275
image,18,kok,1,y,0,,0.7732052803039551
image,19,schrijfster,1,y,1,,0.6055519580841064
image,20,verpleegkundige,2,y,0,,0.7984633445739746
sound,1,verpleegkundige,2,y,0,,1.6387441158294678
sound,2,kok,1,y,0,,0.5644567012786865
sound,3,rechter,2,y,0,,0.36835670471191406
sound,4,verpleegkundige,2,y,0,,1.087015151977539
sound,5,kapster,3,n,1,,0.9218757152557373
sound,6,boerin,2,n,1,,1.7174272537231445
sound,7,kok,1,n,0,,1.5715742111206055
sound,8,kunstenaar,2,y,1,,1.0591540336608887
sound,9,schrijfster,2,n,1,,2.742213010787964
sound,10,verpleegkundige,3,n,0,,2.248582601547241
sound,11,kapster,3,n,1,,0.7818610668182373
sound,12,boer,1,y,1,,1.4866111278533936
sound,13,hoogleraar,2,y,0,,0.471851110458374
sound,14,leraar,2,n,1,,2.2907164096832275
sound,15,rechter,1,y,0,,0.5188860893249512
sound,16,hoogleraar,2,n,0,,0.42108774185180664
sound,17,boer,3,n,1,,0.7897629737854004
sound,18,kok,2,n,0,,3.764285087585449
sound,19,kapster,1,y,1,,0.559565544128418
sound,20,kapster,3,n,1,,0.6170697212219238
